Query,Time-In-MilliSeconds
select `id` from `route_names` where (`name` = 'employee.index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.show'), 0.23
select `id` from `route_names` where (`name` = 'employee.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.store'), 0.23
select `id` from `route_names` where (`name` = 'employee.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.update'), 0.22
select `id` from `route_names` where (`name` = 'employee.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'home'), 0.21
select `id` from `route_names` where (`name` = 'home') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'item.activate'), 0.21
select `id` from `route_names` where (`name` = 'item.activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'item.ajax_get'), 0.24
select `id` from `route_names` where (`name` = 'item.ajax_get') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'item.create'), 0.23
select `id` from `route_names` where (`name` = 'item.create') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'item.csv'), 0.22
select `id` from `route_names` where (`name` = 'item.csv') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'item.de_activate'), 0.26
select `id` from `route_names` where (`name` = 'item.de_activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'item.destroy'), 0.23
select `id` from `route_names` where (`name` = 'item.destroy') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'item.edit'), 0.24
select `id` from `route_names` where (`name` = 'item.edit') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'item.index'), 0.29
select `id` from `route_names` where (`name` = 'item.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'item.show'), 0.28
select `id` from `route_names` where (`name` = 'item.show') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'item.stock.detail'), 0.23
select `id` from `route_names` where (`name` = 'item.stock.detail') limit 1, 0.23
